,거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,22000.0,,1999,2016,통인동,효자,2,23,61.49,,5-1,11110,4,,
1,82500.0,,2008,2016,사직동,광화문스페이스본(101동~105동),2,23,94.51,,9,11110,11,,
2,99500.0,,2008,2016,사직동,광화문스페이스본(101동~105동),2,26,158.99,,9,11110,2,,
3,107000.0,,2008,2016,사직동,광화문스페이스본(101동~105동),2,26,151.81,,9,11110,7,,
4,83800.0,,2008,2016,사직동,광화문스페이스본(101동~105동),2,29,94.51,,9,11110,8,,
5,23000.0,,2003,2016,익선동,현대뜨레비앙,2,18,43.98,,55,11110,6,,
6,27000.0,,2003,2016,익선동,현대뜨레비앙,2,20,48.54,,55,11110,3,,
7,25400.0,,2003,2016,익선동,현대뜨레비앙,2,22,46.64,,55,11110,2,,
8,49500.0,,2002,2016,명륜1가,아미레스아파트,2,2,84.59,,45-5,11110,1,,
9,63000.0,,1995,2016,명륜2가,아남1,2,5,84.9,,4,11110,7,,
10,53300.0,,1999,2016,창신동,두산,2,4,84.9,,232,11110,13,,
11,29400.0,,1993,2016,창신동,창신쌍용2,2,12,64.66,,703,11110,12,,
12,41500.0,,1993,2016,창신동,창신쌍용2,2,13,106.62,,703,11110,14,,
13,38000.0,,1992,2016,창신동,창신쌍용1,2,14,79.87,,702,11110,5,,
14,23200.0,,2002,2016,창신동,MID그린(1동),2,15,59.55,,601,11110,4,,
15,34500.0,,1993,2016,창신동,창신쌍용2,2,15,79.87,,703,11110,13,,
16,26000.0,,1999,2016,창신동,덕산,2,19,59.28,,639-50,11110,6,,
17,42800.0,,1993,2016,창신동,창신쌍용2,2,20,106.62,,703,11110,4,,
18,56500.0,,1999,2016,창신동,두산,2,21,84.9,,232,11110,17,,
19,34500.0,,1993,2016,창신동,창신쌍용2,2,22,79.87,,703,11110,5,,
20,30500.0,,1973,2016,창신동,동대문맨션,2,23,89.55,,578-5,11110,8,,
21,31500.0,,1992,2016,창신동,창신쌍용1,2,25,54.7,,702,11110,14,,
22,15800.0,,1970,2016,창신동,동문상가,2,26,42.39,,436-41,11110,6,,
23,29600.0,,1993,2016,창신동,창신쌍용2,2,26,64.66,,703,11110,12,,
24,31000.0,,1992,2016,창신동,창신쌍용1,2,27,54.7,,702,11110,6,,
25,39000.0,,1992,2016,창신동,창신쌍용1,2,29,79.87,,702,11110,6,,
26,66000.0,,2004,2016,숭인동,롯데캐슬천지인,2,15,111.73,,76,11110,17,,
27,11700.0,,2012,2016,숭인동,삼전솔하임2차,2,16,16.67,,296-19,11110,6,,
28,59800.0,,2008,2016,숭인동,종로센트레빌,2,17,114.67,,2-1,11110,4,,
29,43000.0,,2009,2016,숭인동,종로청계힐스테이트,2,25,59.9426,,766,11110,10,,
30,52000.0,,2008,2016,숭인동,종로센트레빌,2,27,84.92,,2-1,11110,5,,
31,11800.0,,2014,2016,숭인동,숭인한양LEEPS,2,27,12.78,,1421-2,11110,8,,
32,180000.0,,2009,2016,평창동,롯데캐슬로잔,2,11,238.858,,108,11110,4,,
33,160000.0,,2009,2016,평창동,롯데캐슬로잔,2,11,219.775,,108,11110,3,,
34,70000.0,,2001,2016,평창동,롯데낙천대,2,15,110.53,,72,11110,13,,
35,68000.0,,2001,2016,평창동,롯데낙천대,2,15,110.53,,72,11110,6,,
36,172000.0,,2009,2016,평창동,엘리시아,2,18,206.22,,66-1,11110,3,,
37,159589.0,,2009,2016,평창동,엘리시아,2,22,200.19,,66-1,11110,4,,
38,200951.0,,2009,2016,평창동,엘리시아,2,22,236.07,,66-1,11110,5,,
39,175942.0,,2009,2016,평창동,엘리시아,2,22,213.07,,66-1,11110,4,,
40,175942.0,,2009,2016,평창동,엘리시아,2,22,213.07,,66-1,11110,5,,
41,152416.0,,2009,2016,평창동,엘리시아,2,22,206.22,,66-1,11110,2,,
42,170925.0,,2009,2016,평창동,엘리시아,2,22,206.22,,66-1,11110,5,,
43,143575.0,,2009,2016,평창동,엘리시아,2,22,213.07,,66-1,11110,1,,
44,159589.0,,2009,2016,평창동,엘리시아,2,22,200.19,,66-1,11110,3,,
45,28500.0,,1998,2016,평창동,삼성,2,25,59.97,,596,11110,1,,
46,139000.0,,2009,2016,평창동,롯데캐슬로잔,2,29,200.331,,108,11110,4,,
47,62500.0,,2015,2016,무악동,인왕산2차아이파크,2,3,84.2395,,88,11110,11,,
48,53750.0,,2000,2016,무악동,현대,2,3,84.92,,82,11110,11,,
49,59790.0,,2000,2016,무악동,현대,2,4,114.9,,82,11110,8,,
50,56000.0,,2000,2016,무악동,현대,2,6,84.92,,82,11110,12,,
51,38790.0,,2000,2016,무악동,현대,2,12,60,,82,11110,9,,
52,72000.0,,2008,2016,무악동,인왕산아이파크,2,14,114.931,,60,11110,5,,
53,43490.0,,2000,2016,무악동,현대,2,19,60,,82,11110,11,,
54,47470.0,,2000,2016,무악동,현대,2,20,84.92,,82,11110,2,,
0,92500.0,,2007,2016,필운동,신동아블루아광화문의꿈,3,11,138.66,,254,11110,11,,
1,104000.0,,2008,2016,사직동,광화문스페이스본(106동),3,11,150.4,,9-1,11110,3,,
2,83500.0,,2008,2016,사직동,광화문스페이스본(101동~105동),3,19,94.51,,9,11110,9,,
3,110000.0,,2004,2016,내수동,경희궁의아침4단지,3,2,124.17,,73,11110,11,,
4,70000.0,,1994,2016,내수동,세종로대우,3,3,109.91,,167,11110,14,,
5,123000.0,,2003,2016,내수동,경희궁파크팰리스,3,9,146.33,,95,11110,5,,
6,44500.0,,1998,2016,익선동,운현신화타워,3,7,84.87,,30-6,11110,6,,
7,21500.0,,2003,2016,익선동,현대뜨레비앙,3,8,36.08,,55,11110,7,,
