,거래금액,거래유형,건축년도,년,법정동,아파트,월,일,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,145000.0,,2010,2016,회현동1가,SK리더스뷰남산,2,23,176.26,,206,11140,14,,
1,29000.0,,1970,2016,충무로4가,진양상가,2,13,71.93,,120-3,11140,12,,
2,30700.0,,1970,2016,충무로4가,진양상가,2,29,71.93,,120-3,11140,10,,
3,18500.0,,1968,2016,인현동2가,인현상가(신성아파트),2,16,50.58,,192-30,11140,7,,
4,16500.0,,1968,2016,인현동2가,인현상가(신성아파트),2,19,40.13,,192-30,11140,10,,
5,28800.0,,1968,2016,인현동2가,인현상가(신성아파트),2,24,80.33,,192-30,11140,10,,
6,11000.0,,1972,2016,필동1가,하니맨션,2,15,41.98,,51-11,11140,14,,
7,63000.0,,2011,2016,신당동,청구e편한세상,2,1,59.88,,852,11140,7,,
8,36000.0,,2002,2016,신당동,노블레스2,2,1,84.78,,432-1653,11140,1,,
9,48800.0,,1993,2016,신당동,현대,2,2,121.14,,840,11140,3,,
10,51000.0,,1993,2016,신당동,현대,2,2,121.14,,840,11140,7,,
11,60000.0,,2002,2016,신당동,남산타운,2,2,114.88,,844,11140,18,,
12,49000.0,,1999,2016,신당동,삼성,2,3,84.96,,843,11140,9,,
13,60000.0,,1999,2016,신당동,약수하이츠,2,4,84.88,,842,11140,6,,
14,70000.0,,2011,2016,신당동,래미안하이베르,2,4,117,,851,11140,8,,
15,40000.0,,2003,2016,신당동,프라임2,2,5,79.32,,432-2837,11140,1,,
16,54000.0,,1999,2016,신당동,약수하이츠,2,6,84.88,,842,11140,2,,
17,75000.0,,2011,2016,신당동,청구e편한세상,2,6,84.96,,852,11140,13,,
18,45000.0,,2002,2016,신당동,남산타운,2,10,59.94,,844,11140,5,,
19,43000.0,,1999,2016,신당동,약수하이츠,2,11,57.63,,842,11140,12,,
20,56000.0,,2002,2016,신당동,남산타운,2,11,84.88,,844,11140,13,,
21,36500.0,,1999,2016,신당동,약수하이츠,2,13,57.63,,842,11140,5,,
22,42500.0,,2002,2016,신당동,남산타운,2,15,59.94,,844,11140,2,,
23,37000.0,,1999,2016,신당동,삼성,2,16,59.97,,843,11140,14,,
24,58000.0,,1999,2016,신당동,삼성,2,16,114.91,,843,11140,6,,
25,52300.0,,1999,2016,신당동,삼성,2,16,114.91,,843,11140,1,,
26,60000.0,,2002,2016,신당동,남산타운,2,18,84.88,,844,11140,13,,
27,70000.0,,2002,2016,신당동,남산타운,2,18,114.88,,844,11140,4,,
28,43000.0,,1999,2016,신당동,약수하이츠,2,18,57.63,,842,11140,18,,
29,55000.0,,2005,2016,신당동,신당푸르지오,2,19,84.39,,850,11140,7,,
30,88000.0,,2011,2016,신당동,청구e편한세상,2,20,118.47,,852,11140,8,,
31,43000.0,,1999,2016,신당동,약수하이츠,2,20,57.63,,842,11140,14,,
32,43000.0,,2002,2016,신당동,남산타운,2,22,59.94,,844,11140,5,,
33,60000.0,,1999,2016,신당동,삼성,2,22,114.91,,843,11140,7,,
34,53800.0,,2011,2016,신당동,래미안하이베르,2,23,84.97,,851,11140,1,,
35,56000.0,,1999,2016,신당동,삼성,2,24,114.91,,843,11140,11,,
36,57250.0,,2002,2016,신당동,남산타운,2,24,84.88,,844,11140,15,,
37,41500.0,,1999,2016,신당동,삼성,2,24,59.98,,843,11140,10,,
38,74200.0,,2011,2016,신당동,청구e편한세상,2,24,84.96,,852,11140,14,,
39,35000.0,,2001,2016,신당동,한진해모로,2,24,59.76,,845,11140,8,,
40,35500.0,,1999,2016,신당동,약수하이츠,2,25,57.63,,842,11140,2,,
41,64500.0,,2002,2016,신당동,남산타운,2,26,114.88,,844,11140,7,,
42,40900.0,,2001,2016,신당동,한진해모로,2,26,84.96,,845,11140,1,,
43,68000.0,,2011,2016,신당동,청구e편한세상,2,26,84.95,,852,11140,9,,
44,63000.0,,2002,2016,신당동,남산타운,2,26,84.88,,844,11140,8,,
45,68500.0,,2002,2016,신당동,남산타운,2,27,114.88,,844,11140,18,,
46,55000.0,,2002,2016,신당동,남산타운,2,27,84.88,,844,11140,11,,
47,52700.0,,1993,2016,신당동,현대,2,27,122.275,,840,11140,15,,
48,71800.0,,2011,2016,신당동,청구e편한세상,2,29,84.95,,852,11140,9,,
49,66500.0,,2005,2016,신당동,신당푸르지오,2,29,114.48,,850,11140,15,,
50,49800.0,,2011,2016,신당동,래미안하이베르,2,29,59.74,,851,11140,7,,
51,76118.0,,2014,2016,흥인동,청계천두산위브더제니스,2,1,124.1323,,13-1,11140,8,,
52,42000.0,,2008,2016,황학동,롯데캐슬,2,2,59.94,,2545,11140,20,,
53,41000.0,,2008,2016,황학동,롯데캐슬,2,5,59.94,,2545,11140,10,,
54,54700.0,,2008,2016,황학동,롯데캐슬,2,5,84.92,,2545,11140,12,,
55,42500.0,,2008,2016,황학동,롯데캐슬,2,18,59.94,,2545,11140,31,,
56,49000.0,,2008,2016,황학동,롯데캐슬,2,18,84.89,,2545,11140,8,,
57,53800.0,,2008,2016,황학동,롯데캐슬,2,19,84.97,,2545,11140,29,,
58,42000.0,,2008,2016,황학동,롯데캐슬,2,19,59.94,,2545,11140,18,,
59,54000.0,,2008,2016,황학동,롯데캐슬,2,19,84.9,,2545,11140,19,,
60,66700.0,,2008,2016,황학동,롯데캐슬,2,23,114.9,,2545,11140,25,,
61,51800.0,,2008,2016,황학동,롯데캐슬,2,26,84.97,,2545,11140,12,,
62,42500.0,,2008,2016,황학동,롯데캐슬,2,28,59.91,,2545,11140,12,,
63,56000.0,,2008,2016,황학동,롯데캐슬,2,29,84.89,,2545,11140,32,,
64,68000.0,,2007,2016,순화동,순화동더샵,2,1,84.99,,151,11140,24,,
65,47700.0,,2001,2016,중림동,삼성사이버빌리지,2,1,59.7,,200,11140,16,,
66,68000.0,,2001,2016,중림동,삼성사이버빌리지,2,2,84.93,,200,11140,10,,
67,50000.0,,2001,2016,중림동,삼성사이버빌리지,2,4,59.7,,200,11140,18,,
68,59900.0,,2001,2016,중림동,삼성사이버빌리지,2,5,84.93,,200,11140,7,,
69,59700.0,,2001,2016,중림동,삼성사이버빌리지,2,15,84.93,,200,11140,9,,
70,59800.0,,2012,2016,만리동1가,LIG서울역리가,2,2,84.9866,,231,11140,13,,
71,63300.0,,2012,2016,만리동1가,LIG서울역리가,2,21,84.9788,,231,11140,8,,
72,64500.0,,2012,2016,만리동1가,LIG서울역리가,2,27,84.9581,,231,11140,8,,
0,151000.0,,2011,2016,회현동1가,남산롯데캐슬아이리스,3,3,187.44,,208,11140,19,,
1,160000.0,,2011,2016,회현동1가,남산롯데캐슬아이리스,3,22,176.42,,208,11140,26,,
2,122000.0,,2010,2016,회현동2가,쌍용남산플래티넘,3,3,158.97,,87,11140,15,,
3,108500.0,,2010,2016,회현동2가,쌍용남산플래티넘,3,14,139.8,,87,11140,18,,
4,40000.0,,1970,2016,충무로4가,진양상가,3,9,107.9,,120-3,11140,11,,
5,121000.0,,2009,2016,충무로4가,남산센트럴자이,3,14,160.505,,306,11140,27,,
6,100000.0,,2009,2016,충무로4가,남산센트럴자이,3,24,135.533,,306,11140,23,,
7,101000.0,,2009,2016,충무로4가,남산센트럴자이,3,24,135.533,,306,11140,30,,
8,31800.0,,1970,2016,충무로4가,진양상가,3,25,71.93,,120-3,11140,9,,
9,19000.0,,1968,2016,인현동2가,인현상가(신성아파트),3,3,50.58,,192-30,11140,7,,
10,19000.0,,1968,2016,인현동2가,인현상가(신성아파트),3,7,50.58,,192-30,11140,7,,
11,25500.0,,1971,2016,산림동,청계상가,3,21,69.42,,207-1,11140,7,,
12,68500.0,,2005,2016,신당동,신당푸르지오,3,1,114.48,,850,11140,9,,
13,68400.0,,2011,2016,신당동,청구e편한세상,3,2,84.95,,852,11140,2,,
14,48500.0,,2011,2016,신당동,래미안하이베르,3,2,59.95,,851,11140,6,,
15,73000.0,,2011,2016,신당동,청구e편한세상,3,2,84.95,,852,11140,13,,
16,70000.0,,2002,2016,신당동,남산타운,3,3,114.88,,844,11140,14,,
17,48500.0,,2011,2016,신당동,래미안하이베르,3,3,59.95,,851,11140,8,,
18,62000.0,,1999,2016,신당동,약수하이츠,3,3,84.88,,842,11140,8,,
19,86000.0,,2011,2016,신당동,청구e편한세상,3,4,118.47,,852,11140,10,,
20,29500.0,,2002,2016,신당동,성지,3,5,56.8,,333-9,11140,2,,
21,41800.0,,1993,2016,신당동,현대,3,5,79.11,,840,11140,5,,
22,43000.0,,2004,2016,신당동,삼성홈타운,3,5,83.94,,849,11140,2,,
23,49700.0,,1999,2016,신당동,삼성,3,7,84.96,,843,11140,16,,
24,86500.0,,2011,2016,신당동,청구e편한세상,3,8,118.47,,852,11140,15,,
25,60000.0,,2011,2016,신당동,래미안하이베르,3,9,84.98,,851,11140,7,,
26,42600.0,,2003,2016,신당동,프라임2,3,10,77.52,,432-2837,11140,4,,
27,55500.0,,2005,2016,신당동,신당푸르지오,3,10,84.39,,850,11140,9,,
28,60000.0,,1999,2016,신당동,약수하이츠,3,10,84.88,,842,11140,13,,
29,72800.0,,2011,2016,신당동,청구e편한세상,3,10,84.95,,852,11140,12,,
30,42500.0,,2003,2016,신당동,프라임2,3,11,82.17,,432-2837,11140,4,,
31,20500.0,,2000,2016,신당동,다오아트빌,3,11,53.43,,432-498,11140,3,,
32,68000.0,,1999,2016,신당동,약수하이츠,3,11,114.92,,842,11140,17,,
33,41600.0,,1993,2016,신당동,현대,3,12,79.11,,840,11140,7,,
34,53800.0,,1999,2016,신당동,약수하이츠,3,12,84.88,,842,11140,1,,
35,9500.0,,2001,2016,신당동,신신(1차),3,14,38.93,,432-1972,11140,3,,
