,법정동,년,총 인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
0,가락동,2012.0,24025.0,1922.6666666666667,3350.0,3630.3333333333335,3800.3333333333335,4465.666666666667,3987.0,1743.0,783.3333333333334,293.0,46.666666666666664,3.0
1,가락동,2013.0,22215.666666666668,1787.0,2981.6666666666665,3351.3333333333335,3459.3333333333335,4110.333333333333,3758.0,1689.0,748.0,285.3333333333333,42.333333333333336,3.3333333333333335
2,가락동,2014.0,21731.333333333332,1743.3333333333333,2772.3333333333335,3283.0,3368.0,3976.0,3724.0,1749.6666666666667,768.0,297.0,46.0,4.0
3,가락동,2015.0,21551.666666666668,1736.3333333333333,2561.0,3275.6666666666665,3420.3333333333335,3813.3333333333335,3688.6666666666665,1906.6666666666667,779.3333333333334,309.3333333333333,56.0,5.0
4,가락동,2016.0,21242.666666666668,1710.0,2369.3333333333335,3216.0,3374.0,3674.3333333333335,3628.0,2038.3333333333333,837.0,331.6666666666667,58.666666666666664,5.333333333333333
5,가락동,2017.0,21084.666666666668,1649.6666666666667,2207.6666666666665,3176.0,3421.3333333333335,3547.3333333333335,3556.0,2199.6666666666665,908.0,354.3333333333333,59.0,5.666666666666667
6,가락동,2018.0,21114.666666666668,1605.3333333333333,2118.6666666666665,3177.6666666666665,3467.3333333333335,3412.6666666666665,3577.6666666666665,2347.6666666666665,975.0,365.0,62.333333333333336,5.333333333333333
7,가락동,2019.0,29612.0,2539.3333333333335,2707.0,4331.666666666667,5181.666666666667,4663.0,4760.333333333333,3452.3333333333335,1403.3333333333333,485.3333333333333,80.0,8.0
8,가락동,2020.0,29288.0,2493.0,2549.6666666666665,4108.666666666667,4989.0,4665.666666666667,4685.0,3667.0,1526.0,512.3333333333334,83.66666666666667,8.0
9,가락동,2021.0,28582.0,2357.6666666666665,2493.6666666666665,3796.6666666666665,4678.333333333333,4579.0,4569.333333333333,3892.6666666666665,1578.3333333333333,541.0,92.33333333333333,3.0
10,가락동,2022.0,28168.0,2217.0,2515.3333333333335,3567.0,4600.666666666667,4503.0,4434.666666666667,3950.3333333333335,1705.0,580.0,91.0,4.0
11,가리봉동,2012.0,13668.0,586.0,1058.0,1521.0,1983.0,2897.0,2850.0,1576.0,903.0,238.0,39.0,17.0
12,가리봉동,2013.0,12874.0,537.0,920.0,1382.0,1752.0,2688.0,2827.0,1532.0,916.0,254.0,47.0,19.0
13,가리봉동,2014.0,12093.0,514.0,784.0,1233.0,1601.0,2457.0,2730.0,1515.0,925.0,271.0,43.0,20.0
14,가리봉동,2015.0,11309.0,473.0,650.0,1195.0,1414.0,2164.0,2580.0,1569.0,915.0,283.0,45.0,21.0
